FRAME,Date,UTC,IntSec,GPSWkSec,Longitude,Latitude,Easting,Northing,H-Ell,Roll,Pitch,Heading,ToffSet,GWSDiff,IntDiff,TrgMiss
20200622_110245_00000000,6/22/2020,03:00:39.800,96.40375,97257.8,121.2162021161,25.0189566784,271820.124,2767894.653,95.304,2.8121633442,-0.1947462509,-51.1677621726,97161.39625,0,0,0
20200622_110245_00000001,6/22/2020,03:00:40.786,97.390375,97258.786,121.2161872958,25.0189667660,271818.627,2767895.768,95.273,2.8526560212,0.2300225056,-54.5265929310,97161.395625,0.986,0.98663,-0.00063
20200622_110245_00000002,6/22/2020,03:00:41.518,98.12225,97259.518,121.2161719128,25.0189763748,271817.073,2767896.830,95.252,2.7613410299,0.4889596561,-56.4193499059,97161.39575,0.732,0.73187,0.00013
20200622_110245_00000003,6/22/2020,03:00:42.125,98.7295,97260.125,121.2161561848,25.0189855171,271815.484,2767897.840,95.239,2.5344833960,0.5758939907,-58.0304723198,97161.3955,0.607,0.60725,-0.00025
20200622_110245_00000004,6/22/2020,03:00:42.662,99.26575,97260.662,121.2161400780,25.0189943603,271813.857,2767898.817,95.232,2.1857787313,0.5746453066,-59.2010580832,97161.39625,0.537,0.53625,0.00075
20200622_110245_00000005,6/22/2020,03:00:43.147,99.75175,97261.147,121.2161238535,25.0190029562,271812.218,2767899.767,95.221,2.0770527427,0.6406432556,-60.2557818704,97161.39525,0.485,0.486,-0.001
20200622_110245_00000006,6/22/2020,03:00:43.598,100.202125,97261.598,121.2161072629,25.0190113608,271810.542,2767900.695,95.217,1.7563708419,0.3009099487,-60.9295560032,97161.395875,0.451,0.45037,0.00063
20200622_110245_00000007,6/22/2020,03:00:44.021,100.625625,97262.021,121.2160908344,25.0190197482,271808.882,2767901.621,95.201,2.0426030602,-0.0602253161,-61.1527876035,97161.395375,0.423,0.4235,-0.0005
20200622_110245_00000008,6/22/2020,03:00:44.430,101.0345,97262.43,121.2160742861,25.0190278245,271807.211,2767902.513,95.180,1.1515859593,0.0359223750,-60.8303331231,97161.3955,0.409,0.40887,0.00012
20200622_110245_00000009,6/22/2020,03:00:44.836,101.440375,97262.836,121.2160576448,25.0190364247,271805.530,2767903.463,95.155,1.1582999752,0.0473213154,-60.2624318051,97161.395625,0.406,0.40588,0.00013
20200622_110245_00000010,6/22/2020,03:00:45.227,101.8315,97263.227,121.2160413124,25.0190448921,271803.880,2767904.398,95.135,0.7005630594,0.1267894043,-59.5308233789,97161.3955,0.391,0.39113,-0.00012
20200622_110245_00000011,6/22/2020,03:00:45.615,102.219625,97263.615,121.2160250378,25.0190538090,271802.236,2767905.383,95.113,0.7968329745,0.2003619028,-58.6858138383,97161.395375,0.388,0.38812,-0.00012
20200622_110245_00000012,6/22/2020,03:00:45.995,102.59875,97263.995,121.2160089880,25.0190629035,271800.614,2767906.388,95.092,0.8729432624,0.3217753735,-57.7781228549,97161.39625,0.38,0.37913,0.00087
20200622_110245_00000013,6/22/2020,03:00:46.368,102.972125,97264.368,121.2159931098,25.0190722825,271799.010,2767907.424,95.081,1.0525763084,0.1799781823,-56.7587885534,97161.395875,0.373,0.37338,-0.00037
20200622_110245_00000014,6/22/2020,03:00:46.738,103.342375,97264.738,121.2159773767,25.0190819361,271797.421,2767908.491,95.063,1.1522985390,0.3720505268,-55.5455117735,97161.395625,0.37,0.37025,-0.00025
20200622_110245_00000015,6/22/2020,03:00:47.106,103.709875,97265.106,121.2159618261,25.0190919439,271795.849,2767909.597,95.049,1.2249596226,0.4604850292,-54.2649232983,97161.396125,0.368,0.3675,0.0005
20200622_110245_00000016,6/22/2020,03:00:47.467,104.07125,97265.467,121.2159466549,25.0191021416,271794.316,2767910.724,95.042,1.2024645470,0.3139787919,-52.9688604515,97161.39575,0.361,0.36138,-0.00037
20200622_110245_00000017,6/22/2020,03:00:47.832,104.435625,97265.832,121.2159314949,25.0191128033,271792.784,2767911.903,95.028,1.1473764365,0.2746697134,-51.7090759322,97161.396375,0.365,0.36437,0.00062
